Title,Author,Source,Language(s),Classes Where this could be useful,Topics Covered,Comments,Comments by Audrey,class activity ideas,How frequently identified/used,Comments by Ashley,,Comments by Sydney
Loud Mouse,Cara Mentzel & Idina Menzel,Mom,English,,"empowerment, finding your voice, change, getting out of your comfort zone","lots of adjectives, motion, color, similes, being different, change (puberty?), ",,,,"Becoming confident
May be scary to change, but it’s okay
Getting out of comfort zone is scary but leads to great things",,
Love made me more,Colleen Rowan Kosinski,Random find,English,,"Growing up, change, major life events, transitions, multiple generations","Interesting contrast to the Giving Tree in that the relationship between the crane and the boy changes with time, but more positive",,,,,,
Love You Forever,Robert Munsch,Student recommendation,English,,,,,,,,,
Maiden & Princess,Daniel Haack & Isabel Galupo,Student gift,English,,,"Teaches about the sexual attraction spectrum, breaking the gender binary, normalizing it, development of self and realizing she doesn't want to marry the prince; she loves the princess",,,,,,
"Martine il court, il court, le furet!",Gilbert Delahaye,Student recommendation,French,,,,,,,,,
Maybe Something Beautiful,Isabel Campoy and Theresa Howell,,English,,,,,,,,,
Me and my fear,Francesca Sanna,,,,,"Fear, holding back, realizing others have fear",,,,,,
"Minnies Diner, a multipying menu",Dayle Anne Dodds,Librarian recommendation,English ,Psycholinguistics ,"word games, rhyming, math/doubling, chores","lots of rhyming including boys' names, basic math, chores on a farm",,,,,,
music class today,david weinstone,Random pick,English,,,"rhyming, motion, shy child, breast feeding, individual differences",,,,,,
My family's changing,Pat Thomas,Thriftbooks,English,Developmental,"Divorce, family, emotions, sadness, anger, confusion, love, change, transitions, helping around the house, family structures",,,,,,,
My Friend Maggie,Hannah E. Harrison,,English,Developmental Psychology,"Friendship, bullying, peer groups/cliques",,,,,,,
My Hair Is Poofy & That's Okay,Nikkolas Smith,,English,,Diversity,,,,,,,
My name is Yoon,Helen Recorvits,Thriftbooks,,"Developmental, Social, Multicultural, Psycholinguistics, Education classes","Culture (differences), language (differences, alphabet, meaning), immigration, Leaving comfort zone, starting at a new school, word learning, imagination, creativity, familial pride, names have meaning",,,,,,,
my pet feet,josh funk & billy yong,Librarian recommendation,English,Psycholinguistics,,"word play, disappearing 'R', phonemes, language impairments",,Could include with a discussion of specific language impairment (use examples from the book to help students think about separating phonemes),,,,
my storee,paul russell and aska,,,,,,,,,,,
My Town Mi Pueblo,Nicholas Solis,Penguin newsletter,"Spanish, English",Developmental,"Similarities/differences, word learning, family, community, borders, customs, cultural identity",,,,,"2 languages: English and Spanish
Illustrations represent different cultures
Different types of houses
What the neighborhood looks like
The border between the United States and Mexico
Flags on both sides of the river
People are carrying their passports to cross the border
What is a custom/normal to someone is not always to someone else
Similarities and differences between 2 cultures
Cultural identity: how cultural heritage influences our sense of self
Social identity: how group membership and social norms can shape our behavior and attitudes
Different ranges of emotion
Highlights the importance of connections with others
Cultural competence: how we can develop awareness, knowledge, and skills, to effectively navigate and engage with different cultural groups
",,
Nana Loves You More,Jimmy Fallon,Random pick,English,,,,,,,,,
Nell plants a tree,Anne Wynter,Barnes & Noble,English,Developmental,"Actions and consequences, motion, light, growth, time, generations, activities, rituals/traditions, family",,,,,,,
no more por favor,susan middleton elya,,"Spanish, English",,,"mix of english and spanish, spanish glossary and pronunciation guide, rhyming, word learning, picky eaters, ",,,,,,
"No, David!",David Shannon,Student recommendation,English,Psycholinguistics,,"minimal but repetitous text, have to use pictures to figure out meaning, daily tasks/activities",,,,,,
Nosotros Means (A billingual Story),Paloma Valdivia,Penguin Random House email,"Spanish, English","Psycholinguistics, Developmental","word/language learning, Parent-child relationships, seasons, passing time, growing up/changing","Written in Spanish and English, teaches about relationships between parent and child in various species, consistent phrases help with word learning (Si yo fuera...)",,,,,,
Not All Sheep Are Boring,Bobby Moynihan,Mom recommendation,English,Social Psychology,"Breaking stereotypes, embracing what makes individuals different/special",,,,,,,
"Oh, the Places You'll Go!",Dr. Seuss,Classic,English,,,,,,,,,
Old Friends,Margaret Aitken,,English,,,,,,,,,
On account of the gum,Adam Rex,Thriftbooks,English,,"Consequences, problem-solving, evaluating sources, rhyming                                                                                                                                ",,,,,,,
Once I was very very scared,Chandra Ghosh Ippen,,,,,"Communication and how to express themselves, all have something that they use to comfort them, communication is important",,,,,,
One red sock,Jennifer Sattler,Librarian recommendation,English,,"rhyming, colors, trying multiple solutions, perseverence, worrying about what others will think, perfectionism, frustration",understanding that sometimes imperfect is just right,,,,,,
Our Skin! A first conversation about race,"Megan Madison, Jessica Ralli, & Isabel Roxas",,English,"Developmental Psychology, Adolescence, Social Psychology","Race, racism, talking about difficult topics",,,,,,,
Owl Babies,Martin Waddell,Student recommendation,English,Developmental Psychology,Separation anxiety,,,,,,,
"Patients, Patches",Christy Mihaly,Thriftbooks,English,Developmental Psychology,"Patience, family, routines, different types of family, different perspectives, new baby, breast-feeding, stages of consciousness, siblings, motion, growth",,,,,,,
penguin cha cha,kristi valiant,,,,,,,,,,,
Pink Is for Boys,Robb Pearlman,Skirball,English,"Developmental Psychology, Perception","gender norms (and breaking them), gender expectations; motion perception, Gestalt principles (similarity, proximity, common region, figure-ground segregation), diversity","uses colors to illustrate gender norms (e.g., blue is for boys) and how to break them ",,,,"No color is for one gender
Emphasizes on blue and pink because those are normally “gendered”
gender roles
Sex-typing
gender norms, how to break those standards",,
Play this Book,"Jessica Young, Daniel Wiseman",,English,Psycholinguistics,"Consent, bodily autonomy, body language/gestures, multiple types of communication","encourages children to play along, try diff types of instruments/music",,,,,,
"Polar bear, polar bear what do you hear",Bill Martin Jr and Eric Carle,,English,,,,,,,,,
Prince & Knight,Daniel Haack & Stevie Lewis,,English,,,,,,,,,
Rainbow: a first book of pride,Michael Genhart,APA,English,,"Pride, color, meaning, inclusivity, diversity, acceptance",,,,,,,
Ready to fly,Lea Lyon and A. LaFaye,,English,"Perception, Social Psychology","Motion perception, determination, never giving up, creative thinking, racism, perseverance, working toward your dreams",,,,,,,
Red: a crayon's story,Michael Hall,Student recommendation,English,,"Being different, labels, (self) acceptance, identity, autism?, new/different perspectives",,,,,,,
Remember,Joy Harjo,,English,Perception,Use of color; generations/connection to family; appreciating the environment; interconnections between all living things; cultural memory,Celebrates many Indigenous Nations' cultures,,,,,,
Remixed: A blended family,Arree Chung,Random find,English,,"different types of families, family interactions/activities, family dynamics, divorce, anxiety, blended families, ","i like the idea of this book, but it seems a little confusing at times. Wonder if it would be easier with names rather than colors?",,,,,,
Rosa's song,Helena Ku Rhee,Cellar door books,English,"Developmental, Intro Psych, Social psych","Immigration, homesickness, loneliness, friendship, imagination, motion perception, shadow, cultural differences, word learning",a few Spanish words/phrases,,,,,,
Seven ate nine,Tara Lazar,,,,,"Process of solving a mystery, problem-solving, critical thinking, identity crisis leads to a sense of self and self-perception",,,,,,
Sewing the rainbow,Gayle E Pitman,APA,English,,"gender stereotypes, breaking norms, identity, self-acceptance, acceptance, finding your place, finding your voice, symbols, inclusion, diversity, color, similarity, proximity ",,,,,,,
Skater Cielo,Rachel Katstaller,Random find,English,,"Skateboarding, frustration, overcoming fear, changing perspective, friendship, determination, practice","Glossary with skateboarding terms of the back, but may make more sense to somebody who knows skateboarding",,,,,,
Some bodies,Sophie Kennen,Random find,English,"Developmental, Intro Psych","Body shapes and sizes, skin tone, uniqueness, diversity, rhyming, body image, individual differences",,,,,,,
Something happened in our town,"Marianne Celano, Marietta Collins and Ann Hazzard",APA,English,,"Racism, prejudice, police shootings, shadow, motion, race, bias, injustice, stereotypes, discrimination, fairness, racial/cultural history, family history, anger, sadness, kindness, friendship, talking about difficult topics, slavery, racism, empathy, speaking up and standing up for yourseld and others, inclusivity, making friends",Could be interesting in combination with That Flag,,,,,,
Sparkle Boy,Lesléa Newman,Skirball,English,"Developmental, Psychology of Gender","Gender roles, Gestalt principles (similarity), acceptance, bullying, gender constancy, sibling relationships, family relationships",,,,,,,
"Special people, special ways",Arlene Maguire,,,Social psychology,"Different physical and mental (dis)abilities, tolerance, differences/similarities","Shows sign language alphabet, children in wheelchairs, children with hearing aids, service animals, majority of characters are white",,,,,,
Splat,Jon Burgerman,Librarian recommendation,,Perception,"Similarity, common region",,,,,"Humor
Creativity- imagination and creativity are explored
Bold colors ",,
Stella brings the family,Miriam B. Schiffer,Thriftbooks,English,Developmental,Different types of families; holiday celebrations; creative thinking,,,,,"Identity expression
Even though we look different, share similarities
Positive reinforcement
Promotes diversity",,
Strega Nona,Tomie de Paola,library patron recommendation ,"English, Italian ",,"Following directions, consequences.",,,,,,,
Strega Nona: her story,Tomie dePaola,recommendation,"English, Italian",,"helping others, sharing knowledge, word learning, friendship, honoring elders and traditions, self-acceptance",not the original book in the series (maybe a prequel book?),,,,,,
Talking is not my thing,Rose Robbins,Geffen? ,English ,,"Family, theory of mind, communication difficulties, autism","Nonverbal child and family, theory of mind, how they have to adapt to support the child",,,,,,
Tallulah's Tutu,Marilyn Singer ,Random find,English,,,,,,,,,"Identity, different ways to be a boy, gender norms, gender roles, gender stereotypes, challenging stereotypes, self-confidence, perseverance, gender specific activities, practice, dream big"
Tea rex,molly idle,Random find,English,,,"word play, social routines, relative size, sociocultural perspective, how we develop, tutorial on manners and how to accept others no matter the sociocultural expectations",,,,,,
That Flag,Tameeka Fryer Brown,Nikk book,English ,"Developmental, Social","Race, racism, talking about difficult topics, friendship","Peer relationships and friendships, two friends but their parents don't let them hang out with each other because parents have opposing views of the confederate flag, what brings friends together and separates them",,,,"Peer relationships
Friendship
Racism
Social identity theory: Lily is part of the black community and the southern community and struggles because of the mixed messages from each group
Differing perspectives",,
That's not my name,Anoosha Syed,,English,,"starting school, standing up for yourself, different does not equal bad, pride in culture/name/who you are, names have meaning, diversity and inclusivity",,,,,,,"Identity, belonging, friendship, uniqueness, empathy, speaking up"
thats not my penguin,fiona watt,Random find,English,Perception,"Texture, comparison",,,,,,,
The 1619 Project Born on the Water,Nikole Hannah-Jones and Renee Watson,Nikk book,English,"Perception, Social","Culture, heritage, slavery, talking about difficult topics, motion, resilience, legacy",could pair this with Islandborn for a discussion of heritage and family/cultural history,,,,,,
The Alphabet from AAARGH! to ZZZZZZZ,Adam B. Ford,Librarian recommendation,English,Psycholinguistics,rhyming/minimal pairs; sounds vs. spelling,silly sound effects,,,,,,
the berenstain bears stand up to bullying,mike berenstain,,,,,,,,,,,
The Berenstain Bears All Aboard!,Jan and Mike Berenstain,Classic,English,,,,,,,,,
The book with no pictures,B.J. Novak,Mom,English,,,,,,,,,"Repetition, silly sounds, humor"
The Cat In The Hat,Dr. Seuss,Classic,English,Psycholinguistics,,rhyming,,,,,,"Rhyming, boredom, learning to say no, learning to stand up for yourself, help others, anthropomorphizing, cause and effect, anxiety/fear, problem solving, repitition"
The chalk garden,Sally Anne Garland,Goodreads,English,"Perception, Cognitive Psychology","Weather, growth, persistence, Gestalt principles (proximity), shadow, creative thinking",,,,,,,
The cool bean,Jory John,Librarian recommendation,English,"Developmental, Intro Psych, Education Classes","Popularity, change, friendship, self-esteem, self acceptance, being yourself, daily activities, values, helping",,,,,,,
The Day the Crayons Quit,Drew Daywalt,New classic,English,"Perception, Cognitive Psychology, Developmental, Social",,,,,,,,"Adjectives, bold colors, color, humor, creativity, creatiive thinking/solutions, conflict, frusteration, identity, use of color"
"The First Notes The Story of DO, RE, MI",Julie Andrews & Emma Walton Hamilton,,English,Perception,"Gestalt principles, relations of elements to each other (e.g., music notes)",,,,,,,
The Girl Who Never Made Mistakes,Mark Pett & Gary Rubinstein,Savannah,English,,"Perfectionism, anxiety, sibling differences",It's okay to make mistakes,,,,,,
The Giving Tree,Shel Silverstein,Classic,English,,"Love, giving, time passing, growing up, selfishness","Very one-sided relationship, at least half the boys childhood, but the tree getting everything and the boy just taking",,,,,,"Friendship, functions of a friend, giving/sharing, love, aging, cause and effect, flexibility, relationship changes over time, selfishness, showing love without using words, time, unconditional love"
The Golden Girls of Rio,Nikkolas Smith,Nikk book,English,Perception,Working hard to achieve goals/dreams; following family traditions; motion perception; friendship,,,,,"Teamwork: women working together as a team to achieve their goal
Importance of teamwork and collaboration
Self-esteem: believing in yourself
Encouraging women
Diversity: people from different backgrounds
",,
The Grouchy Ladybug,Eric Carle,,English,,,,,,,,,
The jolly postman or other people's letters,Janet & Allan Ahlberg,Alannah,English,,Fairytales,,,,,,,
The king of kindergarten,Derrick Barnes,Cellar Door Books,English,,"daily tasks, first day of school, self-confidence, values, making friends",,,,,,,
The light in me sees the light in you,Lori Nichols,Thriftbooks,English,,,,,,,,,
"The Little Mouse, the Red Ripe Strawberry, and The Big Hungry Bear",Don & Audrey Wood,Stephanie,English,"Perception, Psycholinguistics","Adjectives, relative size, fear, sharing",,,,,,,
the little red stroller,joshua furst,Random find,English,Developmental Psychology,"diversity, sharing/paying it forward, time, different family structures","sharing/paying it forward, different family structures, diversity, different environments, passage of time ","diversity, sharing is caring, different traditions and activities of different families",,,"Imagination: imaginative play with her stuffed animal and the stroller can teach children about the importance of creativity
Emotional expression: identifying and expressing emotions in a healthy way
Object permanence: the stuffed animal hiding in the stroller, objects continue to exist even when they cannot be seen
Attachment ",,
The Lorax,Dr. Seuss,Classic,English,"Perception, Psycholinguistics","relative size, Gestalt principles (similarity, proximity, figure-ground segregation), alliteration, caring for the environment, interconnected habitat, economics, word learning",novel word learning; explains how members of a habitat are interconnected; shows what happens to the environment from too much industrialization and greed,,,,,,
the Monster at the end of this Book,Jon Stone,,English,,"fear (letting fear stop you, realizing things aren't as scary as they seem)",using colors and font size to emphasize words,,,,,,
The Mother's Day Mice,Eve Bunting,Student recommendation,English,"Family relationships, giving gifts, creative thinking",,,,,,,,
The noise inside boys: a story about big feelings,Pete Oswald,Spectrum news interview with the author,English,"Intro Psych, Developmental, Social and Emotional Learning","Emotions, sibling relationships, rhyming, relative size, texture gradient, motion, shadow, light/lighting, color, self-acceptance, changing light, emotion regulation, emotion recognition, family activities, family interactions, family caring for each other, managing emotions",,,,,,,
The not so quiet library,Zachariah Ohora,,English,,"Daily tasks, problem-solving, creative thinking, anger, fear/anxiety",,,,,,,
The Princess and the Pony,Kate Beaton,Phil,English,Developmental,"Different isn't bad or wrong, everyone has their own skills, people are multifaceted, challenging stereotypes (e.g., warriors have to be tough)",Multiple ways to be a warrior,,,,"People can be both hard and soft
Self-concept: how our beliefs about ourselves influence our behavior and interactions with others
Princess Pinecone struggles with feeling small and weak
Stereotypes and prejudices:
Girls can be strong and fierce warriors
People who present themselves as really tough may also have a soft side
",,
The Princess Knight,Cornelia Funke,Student recommendation,English,,female empowerment,,,,,,,
The queen of kindergarten,Derrick Barnes,Cellar Door Books,English,Developmental,"first day of school, self-confidence, values",,,,,,,"Kindness, helping others, creativity, dailty tasks, empathy, sharing"
The Rabbit Listened,Cori Doerrfeld,,English,,,,,,,,,
The Rainbow Fish,Marcus Pfister,"Student recommendation, Classic",,"Developmental psychology, perception","Sharing, friendship, being unique, belonging, similarity",,,,,,,
The real Dada Mother Goose,Jon Scieszka,Mary,"English, Spanish, Arabic, Chinese, Latin, Morse code, Esperanto, pig Latin, Egyptian hieroglyphics",Psycholinguistics,"Multilingual, code switching, humor, revised nursery rhymes, definitions, creative thinking, spoonerism, word play",,,,,,,
the smart cookie,jory joihn and pete oswald,,,,,,,,,,,"Community, confidence, identity, self-concept, knowledge, comparison, inhibition, it's okay to make mistakes, anxiety, creativity, embracing differences, managing emotions, leaving comfort zone, perseverance, individual differences"
The sour grape,Jory John & Pete Oswald,Librarian recommendation,English,,"Holding a grudge, anger, frustration, sadness, emotions, kindness, fundamental attribution error, communication",,,,,,,
The True Story Of The 3 Little Pigs,Jon Scieszka,,English,,,,,,,,,
The Very Hungry Catapillar,Eric Carle,Classic,English,"Developmental psychology, perception","Relative size, passing time, numbers, changing/growing, discontinuous development",,,,,,,
The World Needs More Purple People,Kristen Bell and Benjamin Hart,,English,,,,,,,,,
The worry box,Suzanne Chiew,Part of the worry kit at the Sierra Madre library,English ,,"Anxiety, siblings, friends, sharing, courage, helping ",,,,,,,
The worst teddy ever,Marcelo Verdad,Barnes & Noble,English,,"Daily activities, friendship",,,,,,,
Thumbelina,Hans Christian Andersen,Student recommendation,English,Perception,Relative size,,,,,,,
To the other side,Erika Meza,,"English, Spanish","Perception, Social","Immigration, color, texture gradient, proximity, fear, anxiety, shadow, relationships, family, dreams, borders, change, transition, patience, friendship, hope",,,,,,,
tomas and the library lady,pat mora,,,,,,,,,,,
Two homes,Claire Masurel,Thriftbooks,English,"Developmental, Intro","divorce, daily activities","two houses but doing the same activities, showing the same rooms, normalizes divorce",,,,,,"Home, family structure, friendship, unconditional love"
two shy pandas,julia jarman & susan varley,Random find,english,,,,,,,,,
Uncle Bobby's Wedding,Sarah S. Brannen,,English,,,,,,,"Gay marriage
Attachment: Chloe is very attached to her uncle Bobby and does not want him to get married
Cognitive dissonance: Chloe wants Bobby to be happy but also wants him to stay close to her
Acceptance: Chloe learns to accept Jaime and wants him to be her uncle too ",,
until someone listens,estela juarez with lissette norman,,"Spanish, English","Developmental Psychology, Social Psychology","immigration, families, activism, talking about difficult topics, code-switching","social justice, immigration, activism",,,,,,
Wakanda Forever,Frederick Joseph,Nikk book,English,,resilience; bullying; not giving up on your dreams; creative/alternate solutions; helping others,,,,,,,
We are grateful,Traci Sorell,Cellar door books,"English, Cherokee","Psycholinguistics, Multicultural","Word learning, gratitude, culture, seasons, seasonal activities, perspective, memory, collective memory, ancestral memory",,,,,,,
We Don't Eat Our Classmates,Ryan T. Higgins,Random pick,English,"Developmental Psychology, Education classes","starting school, making friends",Withdrawn-rejected child category,,,,,,
"We're Different, We're the same",Sesame Street,Sesame Street,,,,"Sense of self, people that compare themselves to others have low self-esteem, everyone looks different but still does the same things ",,,,,,
Welcome Mei Su and Other Tales,Gyo Fujikawa,Random pick; looking for diversity,English,,,,,,,,,
What Are Your Words?,Katherine Locke,,English,"Developmental psychology, Adolescence","Gender diversity/fluidity, gender identity, gender expression, gender dysphoria","Pronoun diversity, gender inclusive pronouns, gender/pronoun fluidity",,,,"Pronouns
Pronouns can change over time (And that is okay)
Can change depending how someone feels
Some people’s pronouns don’t change and that is also okay
The neighbor is transgender
Introduces more than just she/her he/him they/them pronouns
“What are your words today”
Gender identity: individuals may feel a mismatch between their gender identity and their sex assigned at birth
Gender expression: how individuals express their identity in different ways
Gender dysphoria: psychological condition, feeling of discomfort or distress that some individuals experience due to a mismatch between their gender identity and their biological sex
Intersectionality: gender identity and other social identities
Illustrations had multiple people with visible disabilities ",,
What do you do with an idea?,Kobi Yamada,,English,,"Ideas, color, motion, cognition, growth, change, perseverance, changing the world, believing in yourself, standing up for yourself and your ideas",,,,,,,
what is family on Sesame Street?,,Thriftbooks,English ,Developmental,"rhyming, family, family functions, generations, family activities, diversity, relationships, staying connected, families change, chosen family",,,,,,,
"What's that noise, this book is calling you",Isabel Minhos Martins and Madlena Matoso,,English,,"Gestalt principles, tactile sensations, engaging multiple senses, descriptive language, adventure, friendship",Reminds me of Going on a squeegee hunt,,,,,,
What's Your Favorite Color?,Eric Carle and Friends,,English,,,,,,,,,
Where The Wild Things Are,Maurice Sendak,Classic,English,"Psycholinguistics, Perception","Adjectives, motion perception, pictures without words",,,,,,,
Who are you? The kid's guide to gender identity,Brook Pessin-Whedbee,,English,"Developmental, Psychology of Gender","Gender identity, self identity, diversity, self-expression, gender expression, identity, gender diversity, you know best, gender binary, breaking the binary, fluidity, understanding the gender spectrum",,,,,,,
Wink the ninja who wanted to nap,J.C. Phillips,Random find,English,,,,,,,,,"Popularity, pride, family caring for one another, helping, self-confidence, imagination, frusteration"
World Cup Women,Meg Walters,Nikk book,English,Psycholinguistics,"Female empowerment, working towards your goals",Sense of passing time,,,,"Empowering women
Can do great things individually and together
Used their platform to get equal pay
More than just athletes",,
Yes! No! A first conversation about consent,"Megan Madison, Jessica Ralli, & Isabel Roxas",Random find,English,Adolescence,"Consent, relationships, talking about difficult topics",,,,,,,
You Are Enough,Margaret O'Hair,,English,,"Inclusivity; Down syndrome; empowerment (different isn't bad or scary, it's just different)","Main character has Down syndrome though shows lots of children and adults with various differing abilities (e.g., child in wheelchair), diff skin tones (e.g., racial/ethnic diversity and skin pigmentation); body shapes/sizes though many characters are white; consistent mantra ""you are enough""; brief set of info about Down syndrome at the end",,,,,,
you are my i love you,maryann cusimano love,,,,,,,,,,,
You be you,Jonathan Branfman,,English,"Developmental, Psychology of Gender, Social","Gender identity, sexual identity, self identity, diversity, self-expression, gender expression, identity, gender diversity, you know best, gender binary, breaking the binary, fluidity, understanding the gender spectrum, sexuality, attraction, intersectionality, discrimination, stereotypes, privilege",,,,,,,
Your name is a song,Jamilah Thompkins Bigelow,,English,"Intro Psych, Perception, Developmental, Social Psychology, Psycholingustics","starting school, standing up for yourself, different does not equal bad, pride in culture/name/who you are, names have meaning, diversity and inclusivity, belonging, creative thinking, bullying, rhythm, emotions, motion, persistence",Could be good in combination with That's Not My Name,,,,,,
Dress like a girl,Patricia Toht,Skirball,English,"Intro Psych, Perception, Developmental, Psychology of Gender, Psycholingustics","Breaking gender norms, rhyming, dream big, motion, adjectives, descriptive language, diversity, self-expression, be yourself, self acceptance",,,,,,,
Kindness,Monika Forserg,Conor,English,,,,,,,,,
Baby Beluga,Raffi,Conor,English,,,,,,,,,
Vamonos a Los Angeles,"Patty Rodriguez, Ariana Stein",Conor,"English, Spanish",,,,,,,,,
Good Night London,"Adam Gamble, Mark Jasper",Conor,English,,,,,,,,,
All the Wave,Tiana Woolridge,Conor,English,,,,,,,,,
The Paper Bag Princess,Robert Munsch,Classic,English,,,,,,,,,
Little Dinos Dont Push,Michael Dahl,Conor,English,,,,,,,,,
"I Love You, Stinky Face",Lisa McCourt,Conor,English,,,,,,,,,
My Heart Fills With Happiness,Monique Gray Smith and Julie Flett,Conor,"English, Anishinaabemowin",,,,,,,,,
Dear Little One,"Nina Laden, Mlissa Castrillon",Conor,English,,,,,,,,,
Mawkiljemk Mi'kmawiktuk (Counting in Mi'kmaw),Loretta Gould,Conor,"English, Mi'kmaw",,,,,,,,,
Little You,Richard Van Camp,Conor,English,,,,,,,,,
A grandma's magic,Charlotte Offsay,Skirball,English,"Developmental, Social","Family relationships, grandparents, daily activities, motion perception, love",,,,,,,
Ali and the Sea Stars,Ali Stroker,,English,"Developmental, Social","(Dis)ability diversity, empowerment, creativity, critical thinking/problem solving, friendship, family, inclusion",,,,,,,
When Charley Met Emma,Amy Webb,,English,"Developmental, Social","(Dis)ability diversity, different isn't bad or wrong, acceptence, we're different but we're the same, similarities, differences, kindness, manners, inclusion",,,,,,,
Included,Jayneen Sanders,,English,"Developmental, Social","(Dis)ability diversity, different isn't bad or wrong, acceptence, we're different but we're the same, similarities, differences, kindness, manners, inclusion, empathy",,,,,,,
Pheonix Gets Greater,Marty Wilson-Trudeau,,,"Developmental, Social","Gender fluidity, transgender, gender norms, indigenous culture, different isn't bad or wrong, family support, family love",,,,,,,
The Rainbow Parade ,Emily Neilson ,,English ,"Developmental, Social","Family relationships, Sexuality, support, acceptance, pride, inclusion, love, self expression ",,,,,,,
Dada and Daddy ,Ryan Brockington & Isaac Webster ,,English ,Developmental. social,"Sexuality, Family systems, inclusion, love, acceptance",,,,,,,
Strong,"Rob Kearny, Eric Rosswood ",,English ,Adolescence,"Sexuality, self expression, empowerment, love, strength, discrimination",,,,,,,
Uncle Bobbys Wedding ,Sarah S. Brannen,,English ,"Developmental, Social","Sexuality, Family Dynamics, love, acceptance, diversity, fashion ",,,,,,,
This Beach Is Loud!,Samantha Cotterill,,English ,,,,,,,,,
Cesaria Feels the Beat ,Denise Rosario Aduse ,,English ,,,,,,,,,